Pays,Annee,Continents,Statuts,Pourcentage_de_depense,Depenses_totales,PIB,Population,Scolarite,Superficie,Densite_km2,Taux_croissance,Pourcentage_pop_mondiale
36,2015,1,Developing,71.2796236,8.16,19.13,33831764,10.1,652230,51.87,1.0257,0.52
36,2014,1,Developing,73.5235817,8.18,20.50,32792523,10,652230,50.28,1.0257,0.52
36,2013,1,Developing,73.2192427,8.13,20.15,31622704,9.9,652230,48.48,1.0257,0.52
36,2012,1,Developing,78.1842153,8.52,19.91,30560034,9.8,652230,46.85,1.0257,0.52
36,2011,1,Developing,7.0971087,7.87,17.81,29347708,9.5,652230,45.00,1.0257,0.52
36,2010,1,Developing,79.6793674,9.2,15.86,28284089,9.2,652230,43.37,1.0257,0.52
36,2009,1,Developing,56.7622168,9.42,12.42,27466101,8.9,652230,42.11,1.0257,0.52
36,2008,1,Developing,25.8739254,8.33,10.11,26482622,8.7,652230,40.60,1.0257,0.52
36,2007,1,Developing,10.910156,6.73,9.75,25909852,8.4,652230,39.73,1.0257,0.52
36,2006,1,Developing,17.1715175,7.43,6.97,25424094,8.1,652230,38.98,1.0257,0.52
36,2005,1,Developing,1.38864773,8.7,6.20,24404567,7.9,652230,37.42,1.0257,0.52
36,2004,1,Developing,15.2960664,8.79,5.22,23560654,6.8,652230,36.12,1.0257,0.52
36,2003,1,Developing,11.0890527,8.82,4.52,22733049,6.5,652230,34.85,1.0257,0.52
36,2002,1,Developing,16.8873509,7.76,3.83,21378117,6.2,652230,32.78,1.0257,0.52
36,2001,1,Developing,10.5747282,7.8,2.81,20284307,5.9,652230,31.10,1.0257,0.52
36,2000,1,Developing,10.42496,8.2,3.52,20130327,5.5,652230,30.86,1.0257,0.52
138,2015,2,Developing,364.975229,6,11.39,2880703,14.2,28748,100.21,0.9957,0.04
138,2014,2,Developing,428.749067,5.88,13.23,2889104,14.2,28748,100.50,0.9957,0.04
138,2013,2,Developing,430.876979,5.66,12.78,2895092,14.2,28748,100.71,0.9957,0.04
138,2012,2,Developing,412.443356,5.59,12.32,2900401,14.2,28748,100.89,0.9957,0.04
138,2011,2,Developing,437.0621,5.71,12.89,2905195,13.3,28748,101.06,0.9957,0.04
138,2010,2,Developing,41.8227572,5.34,11.93,2913021,12.5,28748,101.33,0.9957,0.04
138,2009,2,Developing,348.055952,5.79,12.04,2927519,12.2,28748,101.83,0.9957,0.04
138,2008,2,Developing,36.6220685,5.87,12.88,2947314,12,28748,102.52,0.9957,0.04
138,2007,2,Developing,32.2465523,6.1,10.68,2970017,11.6,28748,103.31,0.9957,0.04
138,2006,2,Developing,3.3021542,5.86,8.90,2992547,11.4,28748,104.10,0.9957,0.04
138,2005,2,Developing,26.9931214,6.12,8.05,3011487,10.8,28748,104.75,0.9957,0.04
138,2004,2,Developing,221.8428,6.38,7.18,3026939,10.9,28748,105.29,0.9957,0.04
138,2003,2,Developing,14.7192888,6.27,5.61,3039616,10.7,28748,105.73,0.9957,0.04
138,2002,2,Developing,104.516916,6.3,4.35,3051010,10.7,28748,106.13,0.9957,0.04
138,2001,2,Developing,96.2055708,6,3.92,3060173,10.6,28748,106.45,0.9957,0.04
138,2000,2,Developing,91.7115405,6.26,3.48,3089027,10.7,28748,107.45,0.9957,0.04
34,2015,3,Developing,0,,187.49,40019529,14.4,2381741,16.80,1.0164,0.56
34,2014,3,Developing,54.2373183,7.21,238.94,39205031,14.4,2381741,16.46,1.0164,0.56
34,2013,3,Developing,544.450743,7.12,229.70,38414171,14.4,2381741,16.13,1.0164,0.56
34,2012,3,Developing,555.926083,6.14,227.14,37646166,14.4,2381741,15.81,1.0164,0.56
34,2011,3,Developing,509.002041,5.29,218.33,36903376,14,2381741,15.49,1.0164,0.56
34,2010,3,Developing,430.717586,5.12,177.79,36188236,13.6,2381741,15.19,1.0164,0.56
34,2009,3,Developing,352.063642,5.36,150.32,35490445,13.1,2381741,14.90,1.0164,0.56
34,2008,3,Developing,43.0871733,4.2,180.38,34816961,12.6,2381741,14.62,1.0164,0.56
34,2007,3,Developing,320.323924,3.82,142.48,34189416,12.3,2381741,14.35,1.0164,0.56
34,2006,3,Developing,270.240196,3.36,123.08,33623506,12.3,2381741,14.12,1.0164,0.56
34,2005,3,Developing,2.54892276,3.24,107.05,33109249,12,2381741,13.90,1.0164,0.56
34,2004,3,Developing,220.393699,3.54,91.91,32628286,11.7,2381741,13.70,1.0164,0.56
34,2003,3,Developing,25.0185226,3.6,73.48,32175818,11.5,2381741,13.51,1.0164,0.56
34,2002,3,Developing,148.511984,3.73,61.52,31750835,11.1,2381741,13.33,1.0164,0.56
34,2001,3,Developing,147.986071,3.84,59.41,31331221,10.9,2381741,13.15,1.0164,0.56
34,2000,3,Developing,154.455944,3.49,54.79,30903893,10.7,2381741,12.98,1.0164,0.56
42,2015,3,Developing,0,,90.50,28157798,11.4,1246700,22.59,1.0315,0.45
42,2014,3,Developing,23.965612,3.31,135.97,27160769,11.4,1246700,21.79,1.0315,0.45
42,2013,3,Developing,35.9585728,4.26,132.34,26165620,11.4,1246700,20.99,1.0315,0.45
42,2012,3,Developing,256.122524,3.3,128.05,25177394,10.3,1246700,20.20,1.0315,0.45
42,2011,3,Developing,239.891392,3.38,111.79,24218352,9.4,1246700,19.43,1.0315,0.45
42,2010,3,Developing,191.653741,3.39,83.80,23294825,9,1246700,18.69,1.0315,0.45
42,2009,3,Developing,212.922933,4.37,70.31,22414773,8.5,1246700,17.98,1.0315,0.45
42,2008,3,Developing,249.910196,3.84,88.54,21578655,8.1,1246700,17.31,1.0315,0.45
42,2007,3,Developing,184.821345,3.38,65.27,20778561,7.7,1246700,16.67,1.0315,0.45
42,2006,3,Developing,25.0868882,4.54,52.38,20015279,7.2,1246700,16.05,1.0315,0.45
42,2005,3,Developing,98.1914512,4.1,36.97,19291161,6.8,1246700,15.47,1.0315,0.45
42,2004,3,Developing,8.8667775,4.71,23.55,18600423,6.4,1246700,14.92,1.0315,0.45
42,2003,3,Developing,35.9334912,4.41,17.81,17943712,5.9,1246700,14.39,1.0315,0.45
42,2002,3,Developing,24.037942,3.63,15.29,17327699,5.5,1246700,13.90,1.0315,0.45
42,2001,3,Developing,30.3599365,5.38,8.94,16747208,5.1,1246700,13.43,1.0315,0.45
42,2000,3,Developing,15.8814925,2.79,9.13,16194869,4.6,1246700,12.99,1.0315,0.45
201,2015,6,Developing,0,,1.44,89409,13.9,442,202.28,1.1958,0
201,2014,6,Developing,2422.99977,5.54,1.38,88765,13.9,442,200.83,1.1958,0
201,2013,6,Developing,1991.43037,5.33,1.33,88064,13.9,442,199.24,1.1958,0
201,2012,6,Developing,2156.22984,5.39,1.33,87260,13.8,442,197.42,1.1958,0
201,2011,6,Developing,1810.87532,5.65,1.28,86332,14.1,442,195.32,1.1958,0
201,2010,6,Developing,1983.95694,5.63,1.30,85320,14.1,442,193.03,1.1958,0
201,2009,6,Developing,149.358736,4.86,1.39,84173,14.2,442,190.44,1.1958,0
201,2008,6,Developing,180.77627,4.69,1.56,82912,14.4,442,187.58,1.1958,0
201,2007,6,Developing,257.966531,4.27,1.49,81704,14.5,442,184.85,1.1958,0
201,2006,6,Developing,216.314694,4.34,1.30,80604,14.7,442,182.36,1.1958,0
201,2005,6,Developing,1455.60819,4.41,1.14,79611,0,442,180.12,1.1958,0
201,2004,6,Developing,22.8629521,4.21,1.03,78719,0,442,178.10,1.1958,0
201,2003,6,Developing,1158.06526,4.53,0.95,77884,0,442,176.21,1.1958,0
201,2002,6,Developing,927.407586,4.41,0.90,77032,0,442,174.28,1.1958,0
201,2001,6,Developing,163.767698,4.48,0.88,76069,0,442,172.10,1.1958,0
201,2000,6,Developing,1127.74347,4.13,0.90,74912,0,442,169.48,1.1958,0
33,2015,7,Developing,0,,594.75,43477012,17.3,2780400,15.64,1.1952,0.57
33,2014,7,Developing,847.371746,4.79,526.32,43024071,17.3,2780400,15.47,1.1952,0.57
33,2013,7,Developing,1001.79633,4.99,552.03,42582455,17.3,2780400,15.32,1.1952,0.57
33,2012,7,Developing,1133.558,5.2,545.98,42161721,17.2,2780400,15.16,1.1952,0.57
33,2011,7,Developing,1504.32946,5.89,530.16,41730660,17.1,2780400,15.01,1.1952,0.57
33,2010,7,Developing,187.610955,6.55,423.63,41288694,16.8,2780400,14.85,1.1952,0.57
33,2009,7,Developing,1398.04262,7.63,332.98,40854831,16.5,2780400,14.69,1.1952,0.57
33,2008,7,Developing,1413.73543,6.66,361.56,40424148,16.3,2780400,14.54,1.1952,0.57
33,2007,7,Developing,1105.65903,6.49,287.53,40016763,16.3,2780400,14.39,1.1952,0.57
33,2006,7,Developing,961.177468,6.68,232.56,39622115,16.1,2780400,14.25,1.1952,0.57
33,2005,7,Developing,96.1665343,6.85,198.74,39216789,16.3,2780400,14.10,1.1952,0.57
33,2004,7,Developing,719.36638,6.84,164.66,38815916,16.3,2780400,13.96,1.1952,0.57
33,2003,7,Developing,57.5846735,8.22,127.59,38424282,16.4,2780400,13.82,1.1952,0.57
33,2002,7,Developing,470.186915,8.31,97.72,38029349,16.3,2780400,13.68,1.1952,0.57
33,2001,7,Developing,123.012867,9.38,268.70,37624825,15.6,2780400,13.53,1.1952,0.57
33,2000,7,Developing,1349.02528,9.21,284.20,37213984,15,2780400,13.38,1.1952,0.57
140,2015,1,Developing,0,,10.55,3004600,12.7,29743,101.02,0.9962,0.03
140,2014,1,Developing,295.608714,4.48,11.61,3013800,12.7,29743,101.33,0.9962,0.03
140,2013,1,Developing,279.429081,4.55,11.12,3022000,12.7,29743,101.60,0.9962,0.03
140,2012,1,Developing,274.152699,4.48,10.62,3024100,12.7,29743,101.67,0.9962,0.03
140,2011,1,Developing,260.996383,3.71,10.14,3027900,12.7,29743,101.80,0.9962,0.03
140,2010,1,Developing,224.321201,4.56,9.26,3044800,12.3,29743,102.37,0.9962,0.03
140,2009,1,Developing,201.185546,4.55,8.65,3066000,11.9,29743,103.08,0.9962,0.03
