Pays,Annee,Esperance_de_vie,Taux_mortalite_adulte,Taux_mortalite_infantile,Alcool,Hepatite_b,Rougeole,IMC,Deces_chez_les_moins_de_5_ans,Poliomyelite,Diphtherie,VIH_SIDA,Malnutrition_5-9_ans
36,2015,65,263,62,0.01,65,1154,19.1,83,6,65,0.1,17.3
36,2014,59.9,271,64,0.01,62,492,18.6,86,58,62,0.1,17.5
36,2013,59.9,268,66,0.01,64,430,18.1,89,62,64,0.1,17.7
36,2012,59.5,272,69,0.01,67,2787,17.6,93,67,67,0.1,18
36,2011,59.2,275,71,0.01,68,3013,17.2,97,68,68,0.1,18.2
36,2010,58.8,279,74,0.01,66,1989,16.7,102,66,66,0.1,18.4
36,2009,58.6,281,77,0.01,63,2861,16.2,106,63,63,0.1,18.7
36,2008,58.1,287,80,0.03,64,1599,15.7,110,64,64,0.1,18.9
36,2007,57.5,295,82,0.02,63,1141,15.2,113,63,63,0.1,19.1
36,2006,57.3,295,84,0.03,64,1990,14.7,116,58,58,0.1,19.3
36,2005,57.3,291,85,0.02,66,1296,14.2,118,58,58,0.1,19.5
36,2004,57,293,87,0.02,67,466,13.8,120,5,5,0.1,19.7
36,2003,56.7,295,87,0.01,65,798,13.4,122,41,41,0.1,19.9
36,2002,56.2,3,88,0.01,64,2486,13,122,36,36,0.1,2.2
36,2001,55.3,316,88,0.01,63,8762,12.6,122,35,33,0.1,2.4
36,2000,54.8,321,88,0.01,62,6532,12.2,122,24,24,0.1,2.5
138,2015,77.8,74,0,4.6,99,0,58,0,99,99,0.1,1.3
138,2014,77.5,8,0,4.51,98,0,57.2,1,98,98,0.1,1.3
138,2013,77.2,84,0,4.76,99,0,56.5,1,99,99,0.1,1.4
138,2012,76.9,86,0,5.14,99,9,55.8,1,99,99,0.1,1.4
138,2011,76.6,88,0,5.37,99,28,55.1,1,99,99,0.1,1.5
138,2010,76.2,91,1,5.28,99,10,54.3,1,99,99,0.1,1.5
138,2009,76.1,91,1,5.79,98,0,53.5,1,98,98,0.1,1.6
138,2008,75.3,1,1,5.61,99,0,52.6,1,99,99,0.1,1.6
138,2007,75.9,9,1,5.58,98,22,51.7,1,99,98,0.1,1.7
138,2006,74.2,99,1,5.31,98,68,5.8,1,97,97,0.1,1.8
138,2005,73.5,15,1,5.16,98,6,49.9,1,97,98,0.1,1.8
138,2004,73,17,1,4.54,99,7,48.9,1,98,97,0.1,1.9
138,2003,72.8,18,1,4.29,97,8,47.9,1,97,97,0.1,2
138,2002,73.3,15,1,3.73,96,16,46.9,1,98,98,0.1,2.1
138,2001,73.6,14,1,4.25,96,18,46,1,97,97,0.1,2.1
138,2000,72.6,11,1,3.66,96,662,45,1,97,97,0.1,2.2
34,2015,75.6,19,21,,95,63,59.5,24,95,95,0.1,5.8
34,2014,75.4,11,21,0.01,95,0,58.4,24,95,95,0.1,5.8
34,2013,75.3,112,21,0.53,95,25,57.2,24,95,95,0.1,5.8
34,2012,75.1,113,21,0.66,95,18,56.1,24,95,95,0.1,5.8
34,2011,74.9,116,21,0.56,95,112,55,24,95,95,0.1,5.8
34,2010,74.7,119,21,0.45,95,103,53.9,24,95,95,0.1,5.8
34,2009,74.4,123,20,0.5,94,107,52.8,23,94,95,0.1,5.9
34,2008,74.1,126,20,0.46,91,217,51.8,23,92,93,0.1,5.9
34,2007,73.8,129,20,0.44,9,0,5.8,23,95,95,0.1,5.9
34,2006,73.4,132,20,0.36,8,944,49.8,23,95,95,0.1,6
34,2005,72.9,136,19,0.5,83,2302,48.9,22,88,88,0.1,6
34,2004,72.3,14,19,0.45,81,3289,47.9,23,86,86,0.1,6.1
34,2003,71.7,146,20,0.34,,15374,47,23,87,87,0.1,6.1
34,2002,71.6,145,20,0.36,,5862,46.1,23,86,86,0.1,6.2
34,2001,71.4,145,20,0.23,,2686,45.3,24,89,89,0.1,6.3
34,2000,71.3,145,21,0.25,,0,44.4,25,86,86,0.1,6.4
42,2015,52.4,335,66,,64,118,23.3,98,7,64,1.9,8.2
42,2014,51.7,348,67,8.33,64,11699,22.7,101,68,64,2,8.3
42,2013,51.1,355,69,8.1,77,8523,22.1,105,67,77,2.3,8.5
42,2012,56,358,72,8.24,75,4458,21.5,110,75,75,2.6,8.6
42,2011,51,361,75,08.06,72,1449,21,115,73,71,2.5,8.8
42,2010,49.6,365,78,7.8,77,1190,2.4,121,81,77,2.5,9
42,2009,49.1,369,81,07.01,61,2807,19.8,127,63,6,2.5,9.2
42,2008,48.7,371,84,07.07,69,265,19.3,133,65,69,2.6,9.4
42,2007,48.2,375,87,6.35,73,1014,18.8,138,75,73,2.6,9.6
42,2006,47.7,381,90,5.84,,765,18.2,143,36,34,2.5,9.7
42,2005,47.4,382,92,05.04,,258,17.7,148,39,38,2.6,9.9
42,2004,47.1,386,94,3.53,,29,17.2,152,4,4,2.5,1.1
42,2003,46.8,388,95,3.49,,1196,16.8,155,4,4,2.4,1.3
42,2002,46.5,391,96,2.82,,11945,16.3,157,37,41,2.3,1.5
42,2001,45.7,44,97,2.58,,9046,15.8,159,41,38,2.1,1.7
42,2000,45.3,48,97,1.85,,2219,15.4,160,3,28,2,1.9
201,2015,76.4,13,0,,99,0,47.7,0,86,99,0.2,3.3
201,2014,76.2,131,0,8.56,99,0,47,0,96,99,0.2,3.3
201,2013,76.1,133,0,8.58,99,0,46.4,0,98,99,0.2,3.3
201,2012,75.9,134,0,8.18,98,0,45.7,0,97,98,0.2,3.3
201,2011,75.7,136,0,7.84,99,0,45.1,0,99,99,0.1,3.3
201,2010,75.6,138,0,7.84,98,0,44.4,0,99,98,0.1,3.3
201,2009,75.4,14,0,7.82,98,0,43.8,0,98,99,0.1,3.3
201,2008,75.2,142,0,8.27,98,0,43.2,0,99,99,0.1,3.3
201,2007,75,144,0,8.64,97,0,42.6,0,98,99,0.1,3.3
201,2006,74.8,145,0,8.93,99,0,42,0,99,99,0.1,3.4
201,2005,74.6,147,0,8.15,99,0,41.4,0,98,99,0.1,3.4
201,2004,74.4,149,0,7.28,97,0,4.8,0,97,97,0.1,3.4
201,2003,74.2,151,0,7.16,99,0,4.1,0,99,99,0.1,3.5
201,2002,74,153,0,7.21,99,0,39.5,0,93,98,0.1,3.5
201,2001,73.8,154,0,7.51,96,0,38.9,0,99,97,0.1,3.5
201,2000,73.6,156,0,7.27,,0,38.2,0,96,95,0.1,3.6
33,2015,76.3,116,8,,94,0,62.8,9,93,94,0.1,0.9
33,2014,76.2,118,8,7.93,94,1,62.2,9,92,94,0.1,0.9
33,2013,76,119,8,8.28,94,0,61.6,10,99,94,0.1,0.9
33,2012,75.9,12,9,8.35,91,2,61,10,99,91,0.1,0.9
33,2011,75.7,12,9,8.11,91,3,6.4,10,93,91,0.1,0.9
33,2010,75.5,121,10,8.15,94,17,59.8,11,95,94,0.1,0.9
33,2009,75.6,126,10,8.33,94,3,59.2,11,97,94,0.1,0.9
33,2008,75.4,126,10,8.41,9,0,58.6,11,94,93,0.1,0.9
33,2007,74.8,129,10,8.16,85,0,58,12,92,91,0.1,0.9
33,2006,75.2,127,11,7.75,84,0,57.5,12,92,91,0.1,0.9
33,2005,74.9,127,11,7.53,88,0,56.9,12,95,98,0.1,1
33,2004,74.7,13,11,7.63,81,0,56.3,12,91,98,0.1,1
33,2003,74.1,137,11,7.62,73,0,55.7,13,95,96,0.1,1
33,2002,74.1,138,12,7.81,66,0,55.1,13,94,93,0.1,1
33,2001,74,138,12,7.76,,0,54.6,13,85,83,0.1,1.1
33,2000,74.1,137,12,7.68,,6,54,14,88,83,0.1,1.1
140,2015,74.8,118,1,,94,33,54.9,1,96,94,0.1,2.2
140,2014,74.6,12,1,3.91,93,13,54.1,1,95,93,0.1,2.1
140,2013,74.4,123,1,3.79,95,10,53.3,1,96,95,0.1,2.1
140,2012,74.4,121,1,3.89,95,0,52.6,1,96,95,0.1,2.1
140,2011,73.9,128,1,04.09,95,0,51.9,1,96,95,0.1,2.1
140,2010,73.5,132,1,4.23,94,2,51.2,1,96,94,0.1,2.1
140,2009,73.3,137,1,3.96,93,0,5.7,1,94,93,0.1,2.1
140,2008,73.2,14,1,3.96,89,0,5.1,1,91,89,0.1,2.1
140,2007,73.5,132,1,3.99,85,1,49.7,1,9,88,0.1,2.1
140,2006,72.9,141,1,04.01,78,137,49.2,1,87,87,0.1,2.1
140,2005,73,137,1,4.25,91,2281,48.8,1,92,9,0.1,2.1
140,2004,73,132,1,3.81,91,1783,48.4,1,93,91,0.1,2.1
140,2003,72.7,134,1,03.03,93,4,48.1,1,96,94,0.1,2.1
140,2002,72.6,134,1,2.86,91,40,47.8,1,96,94,0.1,2.1
140,2001,72.6,141,1,2.86,69,69,47.4,1,97,94,0.1,2.1
140,2000,72,142,1,2.9,55,15,47.1,1,96,93,0.1,2.2
55,2015,82.8,59,1,,93,74,66.6,1,93,93,0.1,0.6
55,2014,82.7,6,1,9.71,91,340,66.1,1,92,92,0.1,0.6
55,2013,82.5,61,1,9.87,91,158,65.5,1,91,91,0.1,0.6
55,2012,82.3,61,1,10.03,91,199,65,1,92,92,0.1,0.6
55,2011,82,63,1,10.3,92,190,64.4,1,92,92,0.1,0.6
55,2010,81.9,64,1,10.52,92,70,63.9,1,92,92,0.1,0.6
55,2009,81.7,66,1,10.62,94,104,63.4,1,92,92,0.1,0.6
55,2008,81.3,66,1,10.76,94,65,62.9,1,92,92,0.1,0.6
55,2007,81.3,66,1,10.56,94,11,62.5,2,92,92,0.1,0.6
55,2006,81.2,66,1,10.31,95,0,62,2,92,92,0.1,0.6
55,2005,81,67,1,10.3,95,10,61.5,2,92,92,0.1,0.6
55,2004,86,69,1,9.84,95,70,6.9,1,92,92,0.1,0.6
55,2003,83,71,1,9.97,95,91,6.3,1,92,93,0.1,0.7
55,2002,79.9,73,1,9.84,95,32,59.6,2,92,92,0.1,0.7
55,2001,79.9,75,1,9.53,94,141,59,2,91,92,0.1,0.7
55,2000,79.5,78,1,10.17,,108,58.2,2,9,9,0.1,0.7
99,2015,81.5,65,0,,93,309,57.6,0,93,93,0.1,2.1
99,2014,81.4,66,0,12.32,98,117,57.1,0,98,98,0.1,2
99,2013,81.1,68,0,11.82,95,0,56.6,0,95,95,0.1,2
99,2012,88,7,0,12.26,92,36,56.1,0,92,92,0.1,2
99,2011,88,73,0,12.04,89,68,55.7,0,89,89,0.1,2
99,2010,84,75,0,12.1,86,52,55.2,0,86,86,0.1,1.9
99,2009,82,77,0,11.3,83,49,54.7,0,83,83,0.1,1.9
99,2008,84,76,0,12,83,448,54.2,0,83,83,0.1,1.9
99,2007,81,8,0,12.5,85,20,53.7,0,85,85,0.1,1.9
99,2006,79.8,81,0,12.4,83,23,53.2,0,83,83,0.1,1.9
99,2005,79.4,85,0,12.4,86,9,52.7,0,86,86,0.1,1.9
99,2004,79.3,86,0,12.1,83,15,52.2,0,83,83,0.1,1.9
99,2003,78.8,88,0,12.2,83,90,51.7,0,84,84,0.1,1.9
99,2002,78.7,9,0,12.5,81,0,51.2,0,82,83,0.1,1.9
99,2001,78.6,92,0,12.4,44,0,5.6,0,83,84,0.1,1.9
99,2000,78.1,96,0,13.2,33,0,5.1,0,71,81,0.1,1.9
91,2015,72.7,118,5,,96,0,52.5,6,98,96,0.1,2.9
91,2014,72.5,119,5,0.01,94,0,51.5,6,97,94,0.1,2.9
91,2013,72.2,121,5,2.14,93,164,5.6,6,96,93,0.1,2.8
91,2012,71.9,123,5,0.01,88,0,49.7,6,92,89,0.1,2.8
91,2011,71.6,125,5,1.98,84,0,48.8,6,91,87,0.1,2.9
91,2010,71.1,13,5,1.98,8,0,48,6,85,81,0.1,2.9
91,2009,78,132,6,2.1,74,0,47.3,6,84,81,0.1,2.9
91,2008,73,141,6,1.18,68,5,46.6,6,85,81,0.1,2.9
91,2007,73,14,6,01.02,62,0,45.9,7,81,79,0.1,2.9
91,2006,69.2,154,6,0.85,52,222,45.3,7,8,78,0.1,2.9
91,2005,68.4,162,6,0.73,49,1238,44.7,7,79,75,0.1,3
91,2004,68.4,154,6,0.62,5,827,44.2,8,78,77,0.1,3
91,2003,67.8,154,7,0.55,51,1978,43.6,8,79,77,0.1,3
